triplet_id,language,category,flattening,model,condition,sim_anchor_near,sim_anchor_far,cos_gap,correct
hi_kin2_085,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9849376678466797,0.9216078519821167,0.06332981586456299,1
hi_kin2_086,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9952030181884766,0.9164232015609741,0.07877981662750244,1
hi_kin2_087,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.970333456993103,0.8466696739196777,0.12366378307342529,1
hi_kin2_088,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.8727412223815918,0.895492434501648,-0.022751212120056152,0
hi_kin2_089,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9905686378479004,0.9528087377548218,0.03775990009307861,1
hi_kin2_090,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9932956695556641,0.9220610857009888,0.07123458385467529,1
hi_kin2_091,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9853479862213135,0.8757065534591675,0.109641432762146,1
hi_kin2_092,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9649121761322021,0.9278593063354492,0.03705286979675293,1
hi_kin2_093,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9876810312271118,0.946492612361908,0.04118841886520386,1
hi_kin2_094,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.8826264142990112,0.897465705871582,-0.0148392915725708,0
hi_kin2_095,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9719079732894897,0.9120501279830933,0.059857845306396484,1
hi_kin2_100,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9979251623153687,0.8564343452453613,0.14149081707000732,1
hi_kin2_101,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9857172966003418,0.9161416292190552,0.06957566738128662,1
hi_kin2_102,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9922081232070923,0.9232257008552551,0.06898242235183716,1
hi_kin2_103,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9883113503456116,0.8993927240371704,0.08891862630844116,1
hi_kin2_106,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9634206891059875,0.9062849879264832,0.057135701179504395,1
hi_kin2_107,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.972277045249939,0.9427001476287842,0.029576897621154785,1
hi_kin2_108,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.988786518573761,0.8719397783279419,0.11684674024581909,1
hi_kin2_109,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9884098172187805,0.9014731645584106,0.08693665266036987,1
hi_kin2_110,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9954895973205566,0.9172512292861938,0.07823836803436279,1
hi_age2_001,hindi,kinship_relative_age,partial,LaBSE,native,0.9936561584472656,0.958416223526001,0.03523993492126465,1
hi_age2_002,hindi,kinship_relative_age,partial,LaBSE,native,0.9971716403961182,0.9538027048110962,0.04336893558502197,1
hi_age2_003,hindi,kinship_relative_age,partial,LaBSE,native,0.999758243560791,0.971017599105835,0.028740644454956055,1
hi_age2_004,hindi,kinship_relative_age,partial,LaBSE,native,0.9904747009277344,0.9714563488960266,0.019018352031707764,1
hi_age2_005,hindi,kinship_relative_age,partial,LaBSE,native,0.9727634787559509,0.9394420981407166,0.033321380615234375,1
hi_age2_006,hindi,kinship_relative_age,partial,LaBSE,native,0.9582547545433044,0.9583214521408081,-6.669759750366211e-05,0
hi_age2_007,hindi,kinship_relative_age,partial,LaBSE,native,0.9831949472427368,0.9539439678192139,0.02925097942352295,1
hi_age2_008,hindi,kinship_relative_age,partial,LaBSE,native,0.9813501834869385,0.9330440759658813,0.04830610752105713,1
hi_age2_009,hindi,kinship_relative_age,partial,LaBSE,native,0.9980788826942444,0.9758250117301941,0.022253870964050293,1
hi_age2_010,hindi,kinship_relative_age,partial,LaBSE,native,0.9940320253372192,0.9532498121261597,0.04078221321105957,1
hi_age2_011,hindi,kinship_relative_age,partial,LaBSE,native,0.946150004863739,0.9645625948905945,-0.01841259002685547,0
hi_age2_012,hindi,kinship_relative_age,partial,LaBSE,native,0.9974982738494873,0.9533112049102783,0.044187068939208984,1
hi_age2_013,hindi,kinship_relative_age,partial,LaBSE,native,0.9680064916610718,0.9383132457733154,0.029693245887756348,1
hi_age2_014,hindi,kinship_relative_age,partial,LaBSE,native,0.9938546419143677,0.9741074442863464,0.01974719762802124,1
hi_age2_015,hindi,kinship_relative_age,partial,LaBSE,native,0.9984993934631348,0.9699079990386963,0.028591394424438477,1
hi_age2_016,hindi,kinship_relative_age,partial,LaBSE,native,0.9922439455986023,0.9580601453781128,0.0341838002204895,1
hi_age2_017,hindi,kinship_relative_age,partial,LaBSE,native,0.9933701753616333,0.969968855381012,0.023401319980621338,1
hi_age2_018,hindi,kinship_relative_age,partial,LaBSE,native,0.9921779632568359,0.9630550146102905,0.02912294864654541,1
hi_age2_019,hindi,kinship_relative_age,partial,LaBSE,native,0.9778469800949097,0.9509353637695312,0.026911616325378418,1
hi_age2_020,hindi,kinship_relative_age,partial,LaBSE,native,0.9709141254425049,0.9462779760360718,0.024636149406433105,1
hi_age2_021,hindi,kinship_relative_age,partial,LaBSE,native,0.8264615535736084,0.966579258441925,-0.14011770486831665,0
hi_age2_022,hindi,kinship_relative_age,partial,LaBSE,native,0.9958001375198364,0.9520597457885742,0.04374039173126221,1
hi_age2_023,hindi,kinship_relative_age,partial,LaBSE,native,0.9948016405105591,0.966486930847168,0.028314709663391113,1
hi_age2_025,hindi,kinship_relative_age,partial,LaBSE,native,0.9829126596450806,0.9712378978729248,0.011674761772155762,1
hi_age2_026,hindi,kinship_relative_age,partial,LaBSE,native,0.9925203323364258,0.9269754886627197,0.06554484367370605,1
hi_age2_027,hindi,kinship_relative_age,partial,LaBSE,native,0.9982274174690247,0.980168879032135,0.01805853843688965,1
hi_age2_028,hindi,kinship_relative_age,partial,LaBSE,native,0.9014440774917603,0.9474139213562012,-0.04596984386444092,0
hi_age2_029,hindi,kinship_relative_age,partial,LaBSE,native,0.9909402132034302,0.9567229747772217,0.034217238426208496,1
hi_age2_030,hindi,kinship_relative_age,partial,LaBSE,native,0.9908176064491272,0.9655925035476685,0.02522510290145874,1
hi_age2_032,hindi,kinship_relative_age,partial,LaBSE,native,0.994709849357605,0.9558805823326111,0.038829267024993896,1
hi_age2_034,hindi,kinship_relative_age,partial,LaBSE,native,0.9116325378417969,0.9653859734535217,-0.053753435611724854,0
hi_age2_035,hindi,kinship_relative_age,partial,LaBSE,native,0.99684739112854,0.9589678049087524,0.0378795862197876,1
hi_age2_036,hindi,kinship_relative_age,partial,LaBSE,native,0.9684082269668579,0.9559817910194397,0.012426435947418213,1
hi_age2_038,hindi,kinship_relative_age,partial,LaBSE,native,0.9844961762428284,0.9646300077438354,0.01986616849899292,1
hi_age2_039,hindi,kinship_relative_age,partial,LaBSE,native,0.9886990785598755,0.966202974319458,0.02249610424041748,1
hi_age2_040,hindi,kinship_relative_age,partial,LaBSE,native,0.9752141833305359,0.9680585861206055,0.00715559720993042,1
hi_age2_041,hindi,kinship_relative_age,partial,LaBSE,native,0.9046640992164612,0.9686987996101379,-0.06403470039367676,0
hi_age2_042,hindi,kinship_relative_age,partial,LaBSE,native,0.9942352771759033,0.9540799856185913,0.04015529155731201,1
hi_age2_043,hindi,kinship_relative_age,partial,LaBSE,native,0.9861336946487427,0.9606958627700806,0.02543783187866211,1
hi_age2_044,hindi,kinship_relative_age,partial,LaBSE,native,0.9924566745758057,0.9678856730461121,0.024571001529693604,1
hi_age2_046,hindi,kinship_relative_age,partial,LaBSE,native,0.966671347618103,0.9529392719268799,0.013732075691223145,1
hi_age2_047,hindi,kinship_relative_age,partial,LaBSE,native,0.9927127361297607,0.9653638005256653,0.02734893560409546,1
hi_age2_048,hindi,kinship_relative_age,partial,LaBSE,native,0.9413676261901855,0.9300739765167236,0.011293649673461914,1
hi_age2_050,hindi,kinship_relative_age,partial,LaBSE,native,0.9486209750175476,0.9640348553657532,-0.015413880348205566,0
hi_age2_051,hindi,kinship_relative_age,partial,LaBSE,native,0.941918134689331,0.9618185758590698,-0.01990044116973877,0
hi_age2_054,hindi,kinship_relative_age,partial,LaBSE,native,0.9654030203819275,0.9468357563018799,0.018567264080047607,1
hi_age2_055,hindi,kinship_relative_age,partial,LaBSE,native,0.9924870729446411,0.943039059638977,0.04944801330566406,1
